no_reg,nama_perusahaan,nama_merek_usaha,tipe_keanggotaan,jenis_perizinan,domain,alamat_kantor,kelurahan,kecamatan,kabkota,provinsi,kodepos,phone,fax
S2853,PT. AUDIANET SENTRA DATA,-,Corporate,-,AUDIA.NET.ID,Komplek Ruko Siliwangi B-6 Jl. Jenderal Sudirman 187 - 189,KARANG AYU,SEMARANG BARAT,SEMARANG,JAWA TENGAH,50142,024 7601-999,024 7622-943
S589,PT. ALUCIO NET,-,Corporate,-,ALUCIO.NET.ID,Jl. Embong Wungu 9,Embong Kaliasin,Genteng,Surabaya,JAWA TIMUR,60271,031 5482-000,031 5486-789
S2862,PT. PISHON WIRELESS TEKNOLOGI,-,Corporate,-,INFRATEL.NET,"Jalan H. Benyamin Sueb Blok. B No. 3, RUKO BOUTIQUE OFFICE PARK",KEBON KOSONG,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,10630,021 8191-783,021 8583-210
S2863,PT. POROS NETWORK NUSANTARA,NETARA,Corporate,-,NETARA.NET.ID,"Graha Simatupang Tower II B Lantai 1, Jl. TB Simatupang Kav. 38",JATI PADANG,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12540,021-7828838,021 5292-0703
S2910,PT. LINTAS MANDIRI SURYA,VSAT IP/VSAT VPN,Corporate,-,LINTASMANDIRI.NET,"Jl. Rasamala No. 18, Komplek Larangan Indah, Cileduk",LARANGAN INDAH,LARANGAN,TANGERANG,BANTEN,15154,021 5890-1723,021 5848-308
S2892,PT. GARUDA MEDIA INFORMATIKA,GARUDA INFORMATIKA,Corporate,-,GARUDAINFORMATIKA.COM,"Jl. Padma No. 2, Legian",LEGIAN,KUTA,KAB. BADUNG,BALI,80361,0361 8518-884,0361 766-248
S2869,PT. TERANG ABADI BERSAMA,-,Corporate,-,TAB.NET.ID,Jl. Sisingamangaraja No. 18 Tandrawana Kotamadya,SAOMBO,GUNUNG SITOLI,GUNUNGSITOLI,SUMATERA UTARA,22813,0639 215-40,0639 215-40
S2859,PT. MULTIMEDIA NUSANTARA,METRASAT,Corporate,-,METRASAT.CO.ID,"Gedung Telkom Landmark Tower, lantai 41 
Jl. Jendral Gatot Subroto Kav. 52",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+62215210123,+62215210124
S2876,PT. ANGKASA PURA SOLUSI,APS,Corporate,-,APS.CO.ID,Terminal 2F Arrival Hall Room F9P67 Soekarno-Hatta International Airport Tangerang,BENDA,BENDA,TANGERANG,BANTEN,19120,021 5505-117,021 5591-5319
S2880,PT. BINASATRIA AGUNGPERKASA,-,Corporate,-,BINA TELCO,Gardenia Boulevard Tower A Unit 1901-B2 Jl. Warung Jati Barat No. 12-13,JATI PADANG,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12540,(021)29048754,(021)29048732
S2868,PT. SUMATERA GLOBAL MEDIATEK,SUMATERANET,Corporate,-,SUMATERANET.CO.ID,"Jalan H. R. Subrantas KM. 10.5, GEDUNG RIAU POS",AIR HITAM,PAYUNG SEKAKI,PEKANBARU,RIAU,28292,0761 566-809,0761 566-809
S551,UNIVERSITAS ISLAM NEGERI MAULANA MALIK IBRAHIM MALANG,UIN Maliki Malang,Education,-,uin-malang.ac.id,Jl. Gajayana 50,DINOYO,LOWOKWARU,MALANG,JAWA TIMUR,65145,-,-
S287,PENGELOLA NAMA DOMAIN INTERNET INDONESIA (PANDI),PANDI,Corporate,-,WWW.PANDI.ID,"Icon Business Park Unit L1-L2 BSD City, Tangerang 15345. Indonesia",CISAUK,CISAUK,KAB. TANGERANG,BANTEN,15345,021 30055777,021 30055777
S1970,BADAN INFORMASI GEOSPASIAL,-,Goverment,-,WWW.BIG.GO.ID,Jl. Raya Jakarta - Bogor KM. 46,CIBINONG,CIBINONG,KAB. BOGOR,JAWA BARAT,16911,021 8752062,021 8753366
S-73,PT. VIVA MEDIA BARU,JAKARTA TIMUR,Corporate,-,WWW.VIVA.CO.ID,"Komplek TVONE, Jl. Rawa Terate II No. 2 -  Kawasan Industri Pulo Gadung",PULO GADUNG,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13260,021 4601326,021 4601327
S1971,PT. PELABUHAN INDONESIA II,PELABUHAN INDONESIA II PERSERO,Corporate,-,INDONESIAPORT.CO.ID,Jl.Raya Pelabuhan No.9,TANJUNG PRIOK,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14310,+62214301080,+62214351419
S316,PT. WEB DATA SOLUSINDO,-,Corporate,-,WWW.WEBDATASOLUSINDO.CO.ID,"Jl. Ki Hajar Dewantara Blok C No. 9, Sektor Golden 8 Summarecon - Gading Serpong Tangerang",SAWAH,CIPUTAT,TANGERANG SELATAN,BANTEN,15810,021 70825577,-
S320,BEND. PENGELUARAN UNIVERSITAS TADULAKO,IDNIC-TADULAKO-ID,Education,-,-,Kampus Universitas Tadulako Jl. Soekarno Hatta,TALISE,MANTIKULORE,PALU,SULAWESI TENGAH,94118,0451 451735,0451 451735
3341,KEMENTERIAN BADAN USAHA MILIK NEGARA,-,Goverment,-,-,Jl. Medan Merdeka Selatan No. 13,GAMBIR,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10110,-,-
S323,PT. INDOMARCO PRISMATAMA,INDOMARCO PRISMATAMA,Corporate,-,INDOMARET.CO.ID,Jl. Ancol I No. 9-10 Ancol Barat Pademangan,ANCOL,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,14430,+62216909400,+62216919927
S324,PT. MITRA PERSADA LENTERA SEJAHTERA,-,Corporate,-,WWW.MPLS.CO.ID,Jl. Agung Utara Blok. A 36A No. 16 Rt. 014/08,SUNTER AGUNG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14350,021 68889902,021 68889902
S2758,LEMBAGA PENERBANGAN DAN ANTARIKSA NASIONAL,-,Goverment,-,-,Jl. Pemuda Persil No. 1,RAWAMANGUN,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13220,021 3866006,021 3845933
S330,PT. JUPITER JALA ARTA,JALANET,Corporate,-,JALANET.CO.ID,"Gedung Cyber One Lantai 8, Jl. Kuningan Barat No. 8",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+622127517263,+622127517263
S331,PT. SPRINT ASIA TECHNOLOGY,SPRINTASIA,Corporate,-,WWW.SPRINTASIA.NET,Jl. RS Fatmawati No. 7,GANDARIA UTARA,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12140,021 2700678,021 2700679
S335,PT. INTEGRASI LOGISTIK CIPTA SOLUSI,-,Corporate,-,WWW.ILCS.CO.ID,"Gedung Telkom Jakarta Utara, Plasa Telkom Lantai 4 Jalan Yos Sudarso Kav. 23-24",KEBON BAWANG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14320,021 43932555,021 43936555
S338,PT. CYBERINDO MEGA PERSADA,CBNCLOUD,Corporate,-,WWW.CBNCLOUD.CO.ID,"Cyber 2 Tower Lantai 33, Jl. H. R. Rasuna Said Blok X-5 NO. 13",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,021 29964977,021 5742481
S339,UNIVERSITAS ISLAM NEGERI WALISONGO SEMARANG,-,Education,-,WWW.WALISONGO.AC.ID,Jl. Walisongo No. 3-5 Semarang,TAMBAKAJI,NGALIYAN,SEMARANG,JAWA TENGAH,50185,024 7604554,024 7601293
S342,UNIVERSITAS AHMAD DAHLAN,UAD.AC.ID,Education,-,WWW.UAD.AC.ID,"Jl. Kapas No. 9 Semaki, Umbulharjo",SEMAKI,UMBULHARJO,YOGYAKARTA,DI YOGYAKARTA,55166,0274 563515,0274 564604
S344,DINAS KOMUNIKASI DAN INFORMATIKA PROVINSI SUMATERA UTARA,-,Goverment,-,WWW.SUMUTPTOU.GO.ID,Jl. H. M. Said No. 27,-,-,Medan,SUMATERA UTARA,20235,061 4527254,061 4510185
S350,PT. GARENA INDONESIA,GARENA,Corporate,-,WWW.GARENA.CO.ID,Mayapada Tower 2 Lt. 6 - Jl. Jend. Sudirman Kav. 27 Karet - Setiabudi (Gedung Anex Topas Tv),SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,11470,021 62708100,021 62708700
S353,PT. CITRA INTERNATIONAL PRATAMA,SMART MEDIA,Corporate,-,-,"Rukan Permata Senayan Blok. A No. 6, Jl. Tentara Pelajar Patal Senayan",GROGOL UTARA,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12210,021 57948979,021 57948980
S354,UNIVERSITAS JAMBI,-,Education,-,WWW.UNJA.AC.ID,"Jl. Raya Jambi - M A, Bulian Km. 15 Mendalo Darat",MENDALO INDAH,JAMBI LUAR KOTA,KAB. MUARO JAMBI,JAMBI,36361,0741 583457,0741 583457
S360,PT. ALPHAOMEGA WAHANA NUSANTARA,MEGA INDO WEB,Corporate,-,WWW.MEGAINDOWEB.CO.ID,Jl. Kuningan Barat No. 8 Gedung Cyber I Lantai 5,KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,021 52905137-9,021 52905136
S361,UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,BANTUL,Education,-,-,Jl. Ring Road Selatan Tamantirto Kashan,TAMANTIRTO,KASIHAN,KAB. BANTUL,DI YOGYAKARTA,55183,0274 387656,0274 387 646
S362,UNIVERSITAS SRIWIJAYA,PALEMBANG,Education,-,WWW.UNSRI.AC.ID,"Jl. Palembang - Prabumulih Km. 32 Indralaya, Ogan Ilir",TIMBANGAN,INDRALAYA UTARA,KAB. OGAN ILIR,SUMATERA SELATAN,30662,0711 581011,0711 580644
S363,PT. APIK MEDIA INOVASI,APIK MEDIA INOVASI,Corporate,-,WWW.APIK.CO.ID,"88 @ Kasablanka Office Tower A 26 F
Jl. Casablanca Raya Kav. 88, RT. 16 / RW. 5",MENTENG DALAM,TEBET,JAKARTA SELATAN,DKI JAKARTA,12870,+62-21-30499946,+62-21-30499946
S368,PEMERINTAH KOTA BATAM,-,Goverment,-,WWW.BATAMKOTA.GO.ID,"Gedung Walikota Batam Lantai 7, Jl. Engku Putri Nomor 1, Batam Center",BELIAN,BATAM KOTA,BATAM,KEPULAUAN RIAU,29432,0778 462164,0778 461349
S369,PT. DATACOMM DIANGRAHA,DATACOMM,Corporate,-,WWW.DATACOMM.CO.ID,Jl. Kapten Tendean No. 18 A,MAMPANG PRAPATAN,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790,021 29979797,021 29979898
S376,PT. DARTA MEDIA INDONESIA,KASKUS,Corporate,-,WWW.KASKUS.CO.ID,"Menara Palma, HR. Rasuna Said Blok X2 Kav. 6",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,021 29223600,021 29223601
S377,PT. DIGITAL REGISTRA INDONESIA,-,Corporate,-,WWW.DIGITALREGISTRA.CO.ID,Citylofts Sudirman Lantai 25 Unit 2526,KARET TENGSIN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10220,0274 882257,0274 4463621
S382,PT. MENARA SINAR SEMESTA,MSS,Corporate,-,WWW.MSS.CO.ID,Koala Regency D20 Semolo Bahari,MEDOKAN SEMAMPIR,SUKOLILO,SURABAYA,JAWA TIMUR,60119,(031) 33600998,-
S383,PT. XEPIA PRIMA ,XP NETS,Corporate,-,WWW.XPNETS.CO.ID,"Gedung Thamrin City Lantai 3 A Blok H1 NO. 627, Jl. MH Thamrin Boulevard Kebon Melati",KEBON MELATI,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10230,021 31990836,021 31990836
S387,PT. MITRA SOLUSI TELEMATIKA ,PT.MITRA SOLUSI TELEMATIKA,Corporate,-,WWW.MST.CO.ID,Gedung TMT 2 Ground Floor Suite GF. 01 Jalan Cilandak KKO No. 1,CILANDAK TIMUR,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12560,+62 (21) 2997-6891,+62 (21) 2997-6895
S391,UNIVERSITAS MUHAMMADIYAH SURAKARTA,-,Education,-,-,"Universitas Muhammadiyah Surakarta, Jl. A. Yani, Pabelan, Kertosuro",PABELAN,KARTASURA,KAB. SUKOHARJO,JAWA TENGAH,-,-,-
S392,PT. LAWANG SEWU TEKNOLOGI ,LST,Corporate,-,LAWANGSEWU.COM,"Tifa Building - Suite 105 Lt. 1, Jl. Kuningan Barat 26",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,02129305647,02129305647
S417,UNIVERSITAS PASUNDAN,-,Education,-,www.unpas.ac.id,Jl. Setiabudi 193,GEGERKALONG,SUKASARI,BANDUNG,JAWA BARAT,40153,-,-
S426,PT. TUJUH ION INDONESIA ,INDOWEBSITE,Corporate,-,WWW.7ION.CO.ID,Ruko Bekasi Regensi 2 Blok. ii 1 No. 3-5,WANASARI,CIBITUNG,KAB. BEKASI,JAWA BARAT,17520,02188395888,-
S434,PT. VISUALINDO PRATAMA ,VISUALAND,Corporate,-,VISUALAND.COM,"Apt. Pakubuwono Terrace N6 / C1, Ciledug Raya, Kebayoran Lama",CIPULIR,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,12230,+628161890680,+62210000000
S436,PT. ERUDEYE INDONESIA ,ERUDEYE,Corporate,-,ERUDEYE.COM,"Pondok Indah Office Tower 3, lantai 17
Jl. Sultan Iskandar Muda Kav. V-TA",RENGAS,CIPUTAT TIMUR,TANGERANG SELATAN,BANTEN,12310,+628113783393,+62
S437,UNIVERSITAS KATOLIK PARAHYANGAN,UNPAR,Education,-,www.unpar.ac.id,Jl. Ciumbuleuit No. 94 Bandung,HEGARMANAH,CIDADAP,BANDUNG,JAWA BARAT,40141,-,-
S438,DINAS PERHUBUNGAN KOMINFO PROVINSI SUMATERA SELATAN,Dinas Perhubungan Kominfo Prov. Sumsel,Goverment,-,www.sumselprov.go.id,Jl. Kapten A. Rivai No. 51,SEI PANGERAN,ILIR TIMUR I,PALEMBANG,SUMATERA SELATAN,30129,-,-
S1859,SEKRETARIAT JENDERAL DEWAN PERWAKILAN DAERAH RI,-,Goverment,-,-,Jl. Jend Gatot Subroto No. 6,GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,021 28042345,021 3845933
S443,PT. NADYNE MEDIA TAMA ,DIGITAL MARKETING,Corporate,-,WWW.NADYNE.COM,"EIGHTYEIGHT @KASABLANKA OFFICE TOWER LANTAI 18 UNIT A H, JL. CASABLANCA KAV. 88",MENTENG DALAM,TEBET,JAKARTA SELATAN,DKI JAKARTA,12870,021-78835337,021-78835337
S444,PT. MATRA MANDIRI PRIMA ,-,Corporate,-,www.mmp.net.id,Jl. Marcedes Bens No. 258,CICADAS,GUNUNG PUTRI,KAB. BOGOR,JAWA BARAT,16964,-,-
S445,UNIVERSITAS BANGKA BELITUNG ,-,Education,-,ubb.ac.id,Jl. Merdeka No. 4 Pangkal Pinang,BALUNIJUK,MERAWANG,KAB. BANGKA,KEPULAUAN BANGKA BELITUNG,30121,-,-
S446,BADAN SAR NASIONAL (BASARNAS),-,Corporate,-,-,Jl. Angkasa Blok B. 15 Kav. 2-3,GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,-,-
S334,DINAS KOMUNIKASI DAN INFORMATIKA KOTA TEGAL,DISKOMINFO KOTA TEGAL,Goverment,-,DISKOMINFO.TEGALKOTA.GO.ID,Jl. Ki Gede Sebayu No. 12 Kota Tegal,MANGKUKUSUMAN,TEGAL TIMUR,TEGAL,JAWA TENGAH,52123,0283 324400,0283 353673
S352,PT. GLOBAL NETINDO MEDIA,G-NET,Corporate,-,WWW.GNETSPOT.COM,"Gedung Graha Samali Lantai 6 R. 6001, Jl. H. Samali No. 31 Pasar Minggu",KALIBATA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12520,021 79187096,021 73187096
S1862,BADAN PENGAWAS PEMILU,-,Goverment,-,WWW.BAWASLU.GO.ID,Jl. MH Thamrin No. 14,GONDANGDIA,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10350,021 390 5889,021 390 5889
S356,PT. LOTTE DATA COMMUNICATION INDONESIA,-,Corporate,-,-,"Cilandak Commercial Estate No. 111 M3, Jl. Raya Cilandak KKO",CILANDAK TIMUR,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12560,021 789 0266-67,021 789 0268
S357,PT. CABLENET ASIA,-,Corporate,-,WWW.CABLENET.ASIA,"Lt. Roof gedung Fresh Market, Jl. Pantai Indah Kapuk Boulevard BGM RT. 04 / RW. 03",KAMAL MUARA,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14470,021 569 84797,021 569 84796
S458,UNIVERSITAS JEMBER,LEMBAGA PERGURUAN TINGGI NEGERI,Education,-,UNEJ.AC.ID,Jalan Kalimantan No. 37 Kampus Teal boto,SUMBERSARI,SUMBERSARI,Kab. Jember,JAWA TIMUR,68121,+62331331042,+62331331042
S1967,UNIVERSITAS NEGERI SURABAYA,UNESA,Education,-,UNESA.AC.ID,"Jl. Lidah Wetan, Surabaya",LIDAH WETAN,LAKARSANTRI,Surabaya,JAWA TIMUR,60213,+623199421835,+623199424002
S1867,PT. JASA UTAMA CAPITAL ,-,Corporate,-,juc.co.id,Menara Thamrin Lt. 2 Suite 203 Jl. MH Thamrin Kav. 3,KAMPUNG BALI,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10250,-,-
S1870,UNIVERSITAS KATOLIK WIDYA MANDALA,WM,Education,-,www.wima.ac.id,Jl. Dinoyo 42-44,KEPUTRAN,TEGALSARI,Surabaya,JAWA TIMUR,60265,-,-
S449,PT. PELABUHAN INDONESIA III (PERSERO) ,-,Corporate,-,pp3.co.id,Jl. Perak Timur 610,PERAK UTARA,PABEAN CANTIAN,Surabaya,JAWA TIMUR,60165,-,-
S1872,BADAN PERENCANAAN DAN PEMBANGUNAN NASIONAL,Bappenas,Goverment,-,www.bappenas.go.id,Jl. Taman Suropati No. 2,MENTENG,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10310,-,-
S447,YAYASAN PANCA DHARMA,Sekolah Don Bosco,Education,-,pancadharma.org,Jl. Pulomas Barat V Kayu Putih,KAYU PUTIH,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13210,-,-
S450,PT. SOMAGEDE INDONESIA,-,Corporate,-,-,Ruko Komplek Griya Inti Sentosa - Jl. Griya Agung M.3 65 No. 5,SUNTER AGUNG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14350,-,-
S451,"DUTA KALINGGA PRATAMA, PT ",-,Corporate,-,-,Jl. Griya Agung N3 - 36 / 44 RT. 002 / RW. 020,SUNTER AGUNG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14350,-,-
S452,PT. TRIAS KEMAS UTAMA ,-,Corporate,-,-,Jl. Danau Sunter Barat A 4-4,SUNTER AGUNG,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,14350,-,-
S453,KEMENTERIAN PERDAGANGAN RI,Kemendag,Goverment,-,www.kemendag.go.id,Jl. MI Ridwan Rais No. 5 Gedung Utama Lantai 16,GAMBIR,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10110,-,-
S456,PT. MOBILE COIN ASIA,-,Corporate,-,WWW.MCOIN.CO.ID,Jl. Ophir 1 RT. 04/05 No. 2 - Jl. bumi belakang apartemen pakubuwono,GUNUNG,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12240,-,-
S457,PT. SEMESTA TEKNOLOGI INFORMATIKA ,SEMESTA TEKNOLOGI INFORMATIKA,Corporate,-,STI-GROUP.CO.ID,Jl. Terusan Mulyasari No. 8,SUKAGALIH,SUKAJADI,BANDUNG,JAWA BARAT,40163,022-82009555,022-82000345
S459,PT. VITYA PERSADA INFORMATIKA ,Vipernetwork,Corporate,-,www.vipernetwork.net,Jl. Kebon Jeruk Raya No. 11 A,KEBON JERUK,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11530,-,-
S460,PT. MULTI ADIPRAKARSA MANUNGGAL ,Kartuku,Corporate,-,kartuku.com,"Jl. HR Rasuna Said Kav. 62, Kuningan Setiabudi 2 Building, 3rd Floor, Suite 302 - 305",KARET,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12920,-,-
S461,FANGBIAN ISKAN CORPORINDO,PT FANGBIAN ISKAN CORPORINDO,Corporate,-,WWW.FIC.CO.ID,Gedung Graha Pena Jl. A. Yani No. 88 Surabaya Jawa Timur,Ketintang,Gayungan,Surabaya,JAWA TIMUR,60324,0318202019,0318299989
S463,PT. AKTIF TENGAH MALAM ,AKTIFTM,Corporate,-,AKTIFTM.COM,Gunung Sahari XII - No. 10,GUNUNG SAHARI UTARA,SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,10720,02150200777,02150200777
S471,PT. BANDHAWA TRI TIRTA ,-,Corporate,-,klikserver.com,"Gedung Office 8 Lantai 18 A, SCBD Jl. Jend Sudirman Kav. 52-53",SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12190,-,-
S472,PT. MAXINDO CONTENT SOLUTION ,-,Corporate,-,www.mcs.co.id,Rukan Duren Tiga No. 7 K Jl. Duren Tiga,DUREN TIGA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12760,-,-
S473,PT. GUDANG DATA INDONESIA ,-,Corporate,-,www.gdi.co.id,Rukan Duren Tiga No. 7 K Jl. Duren Tiga,DUREN TIGA,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12760,-,-
S476,INSTITUT SENI INDONESIA YOGYAKARTA,-,Education,-,-,Jl. Parangtritis KM 6.5 Yogyakarta,TIMBULHARJO,SEWON,KAB. BANTUL,DI YOGYAKARTA,55001,-,-
S481,DIREKTORAT JENDERAL PENDIDIKAN TINGGI,-,Goverment,-,www.dikti.go.id,Ged. D Kemdiknas Jl. Raya Jend. Sudirman Pintu I Senayan,GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,-,-
S478,PT. BANK BUKOPIN ,PERBANKAN,Corporate,-,WWW.BUKOPIN.CO.ID,Jl. MT Haryono Kav. 50-51,CIKOKO,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,12770,+627988266,+627980625
S482,"KERETA API INDONESIA, PT (PERSERO) ",-,Corporate,-,www.kereta-api.co.id,Jl. Perintis Kemerdekaan No. 1,BABAKAN CIAMIS,SUMUR BANDUNG,BANDUNG,JAWA BARAT,40117,-,-
S485,UNIVERSITAS ISLAM NEGERI ALAUDDIN MAKASSAR,-,Education,-,www.uin.-alauddin.ac.id / www.uinmks.ac.id,Jl. Sultan Alauddin No. 36 Samata (Kampus 2),BONTO BONTOA,SOMBA OPU,KAB. GOWA,SULAWESI SELATAN,92111,-,-
S477,UNIVERSITAS ISLAM INDONESIA,-,Education,-,www.uil.ac.id,"Jl. Kaliurang 14,4 Besi Ngaglik",UMBULMARTANI,NGEMPLAK,KAB. SLEMAN,DI YOGYAKARTA,55584,-,-
S487,UNIVERSITAS PATTIMURA,-,Education,-,www.unpatti.ac.id,Jl. Ir. M. Putuhena Kampus UNPATTI Poka,POKA,TELUK AMBON,AMBON,MALUKU,97233,-,-
S490,PT. BANK ICBC INDONESIA,-,Corporate,-,-,Jl. MH Thamrin No. 81,MENTENG,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10310,-,-
S495,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,-,Education,-,-,Jl. SWK 104 (Lingkar Utara),CONDONGCATUR,DEPOK,KAB. SLEMAN,DI YOGYAKARTA,55283,-,-
S492,UNIVERSITAS MERCU BUANA YOGYAKARTA,-,Education,-,-,Jl. Wates Km. 10 Yogyakarta,CONDONGCATUR,DEPOK,KAB. SLEMAN,DI YOGYAKARTA,55753,-,-
S493,PT. BIZNET GIO NUSANTARA ,BIZNETGIO,Corporate,-,BIZNETGIO.COM,"Mid Plaza 1, Lantai 7 
Jl. Jend Sudirman Kav. 10-11",KARET TENGSIN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10220,0215714567,0215700580
S496,CV. XTRA PROSOLUSINDO,XOFAST,Corporate,-,WWW.XOFAST.COM,Jl. Merpati Raya No. 16,PESANGGRAHAN,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,12320,08128107721,08128107721
S498,PT. VISUALAND ARTHAMEDIATAMA,VISUALAND,Corporate,-,VISUALAND.COM,"AKR Tower Lt.16 Unit A, Jl. Panjang no. 5 RT 011 RW 010 Kebon Jeruk, Jakarta 11530",KEBON JERUK,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11530,+628161890680,-
S497,PT. PRAKARSA VISI VALUTAMA,-,Corporate,-,-,Komplek Ruko ITC Roxy Mas Blok D5 No. 16,CIDENG,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10150,-,-
