no_reg,nama_perusahaan,nama_merek_usaha,tipe_keanggotaan,jenis_perizinan,domain,alamat_kantor,kelurahan,kecamatan,kabkota,provinsi,kodepos,phone,fax
0033,PT. JASNITA TELEKOMINDO,JASNITA,Keanggotaan Penyelenggara,ISP,JASNITA.CO.ID,"E-Trade Building Centre Lantai 5, Jalan K. H. Wahid Hasyim No. 55",GONDANGDIA,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10350,021 3916-280,021 3916-282
0034,PT. ELGA YASA MEDIA,ELGANET,Keanggotaan Penyelenggara,ISP,ELGA.NET.ID,"Jalan Ampera Raya No. 20, GEDUNG MEDCO III Lantai 3",CILANDAK TIMUR,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,12560,021 7821-962,021 7821-771
0035,PT. ESTIKO RAMANDA,-,Keanggotaan Penyelenggara,ISP,ESTIKO.NET.ID,Komplek Golden Plaza Fatmawati Jl. RS Fatmawati No. 15 Blok. G 11 Lt. 2,GANDARIA SELATAN,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,12420,021 7668-899,021 7591-2655
0040,PT. SISTELINDO MITRALINTAS,SISTELINDO,Keanggotaan Penyelenggara,ISP,SISTELINDO.NET.ID,GP Plaza Lantai 5 Unit 23 Jl. Gelora II No. 1,GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,+622122530994,+622100000000
0041,PT. TOTAL INFO KHARISMA,NETSTAR,Keanggotaan Penyelenggara,ISP,NETSTAR.ID,"Kompleks Duta Merlin Blok. C 49-50, Jalan Gajah Mada No. 3, Harmoni",PETOJO UTARA,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,10130,+622140203636,-
0044,PT. SATATA NEKA TAMA,SATNET,Keanggotaan Penyelenggara,ISP,SAT.NET.ID,Gedung Cyber Lt. 4 Jl. Kuningan barat No. 8,KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+62215276722,+62215275755
0046,"PT. TELKOM INDONESIA (PERSERO), TBK.","SPEEDY, ASTINET, TELKOMNET INSTAN",Keanggotaan Penyelenggara,ISP,TELKOM.NET.ID,"Gedung Menara Multimedia Lt. 16
Jl. Kebon Sirih Kav. 10-12",KEBON SIRIH,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10340,(021 )3860-500  / 38,(021 )3860-300
0048,PT. SUPRA PRIMATAMA NUSANTARA,BIZNET,Keanggotaan Penyelenggara,ISP,BIZ.NET.ID,"Jalan Jenderal Sudirman Kav. 10-11, MidPlaza 2 Lantai 8",KARET TENGSIN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10220,+622157998888,+62215700580
0049,PT. TELKOM SATELIT INDONESIA,TELKOMSAT,Keanggotaan Penyelenggara,ISP,TELKOMSAT.CO.ID,Gedung Telkom Landmark tower Lantai 21 Jl. Jenderal Gatot Subroto Kav. 52,KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+622127933233,+622127933234
0052,PT. JETCOMS NETINDO,JETCOMS,Keanggotaan Penyelenggara,ISP,JETCOMS.CO.ID,"Gedung SG
Jl. Panglima Polim Raya No. 19A",MELAWAI,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12160,+622172787008,+62217202821
0053,PT. INTERNET MADJU ABAD MILENINDO,GLOBALXTREME,Keanggotaan Penyelenggara,ISP,GLOBALXTREME.NET,Jl. Raya Kerobokan 388x Br. Semer,KEROBOKAN KELOD,KUTA UTARA,KAB. BADUNG,BALI,80361,0361 736811,0361 736833
0054,PT. NTT INDONESIA,NTT,Keanggotaan Penyelenggara,ISP,GLOBAL.NTT,"Jalan Jenderal Sudirman Kav. 1, Wisma 46 Kota BNI Lantai 5",KARET TENGSIN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10220,+62215727777,+62215746777
0058,PT. CIRCLECOM NUSANTARA INDONESIA,CIRCLEONE,Keanggotaan Penyelenggara,ISP,CIRCLEONE.NET.ID,"Indonesia Stock Exchange Bldg, Tower 2, 28th #2804 
Jl. Jend. Sudirman Kav. 52-53",SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12190,021 5155-555,021 5151-672
0063,PT. MEDIA ANTAR NUSA,NUSANET,Keanggotaan Penyelenggara,ISP,NUSA.NET.ID,Jl. Haji Misbah Kompleks Multatuli Blok. D No. 1,AUR,MEDAN MAIMUN,MEDAN,SUMATERA UTARA,20151,0614558100,0614558100
0065,PT. REACH NETWORK SERVICES INDONESIA,-,Keanggotaan Penyelenggara,ISP,REACH.NET.ID,Wisma GKBI 17th Fl. Suite 1701 Jl. Jend. Sudirman No. 28,BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10210,021 5740-001,021 5741-112
0067,"PT. FIRST MEDIA, TBK.",FIRST MEDIA,Keanggotaan Penyelenggara,JTL,FIRSTMEDIA.COM,Brita Satu Plaza Lt. 4 Jl. Jend. Gatot Subroto Kav. 35-36,KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,(021 )5278-811,(021 )5278-822
0068,PT. NAP INFO LINTAS NUSA,MATRIX  NAP INFO,Keanggotaan Penyelenggara,NAP,NAPINFO.CO.ID,"Menara Kadin Indonesia Lt. 7, JL. HR. Rasuna Said, Kav. 3",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,+62212528888,+62212525555
0072,PT. INDO PRATAMA TELEGLOBAL,TELEGLOBAL,Keanggotaan Penyelenggara,ISP,TELEGLOBAL.CO.ID,"Menara Thamrin Building 18 Floor, Jalan M.H. Thamrin Kav.3",KAMPUNG BALI,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10250,+622139830336,+62
0074,PT. FAJAR INFORMASI GLOBALNET JAYA,-,Keanggotaan Penyelenggara,ISP,BOLEH.NET.ID,Gedung Cyber lt. 10 Jl. Kuningan Barat No. 8,KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,(021 )5269-559,(021 )5269-625
0076,PT. INFOKOM ELEKTRINDO,INFOKOM,Keanggotaan Penyelenggara,ISP,INFOKOM.ID,"Jalan Kebon Sirih 17-19, MNC Tower Lt. 25",KEBON SIRIH,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10340,(021) 391 2760,(021) 392 0220
0077,PT. MITHAHARUM ABADI,EZYNET,Keanggotaan Penyelenggara,ISP,EZY.NET.ID,"Centro City Residences Tower A, Lt. 12 A (Rooftop) Jl. Macan Kav. 4-5 Duri Kepa Kebon Jeruk - Jakarta Barat",KEDOYA UTARA,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,11510,(021) 29209610,-
0081,PT. YUDHAWIRA KHATULISTIWA,SKYREACH,Keanggotaan Penyelenggara,ISP,SKYREACH.ID,Komp. Gading Bukit Indah Blok. H No. 24 Jl. Bukit Gading Raya Kelapa Gading Permai Blok. H No. 24,KELAPA GADING BARAT,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,14240,021 3100100,021 3100100
0085,PT. MULTIDATA RANCANA PRIMA,GIGANET,Keanggotaan Penyelenggara,ISP,GIGA.NET.ID,Raudha Building Lt. 1 Jl. Terusan Kuningan No. 21,KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,(021 )5279-901,(021 )5279-910
0088,PT. GLOBAL INTI CORPORATAMA,ORBICOM,Keanggotaan Penyelenggara,ISP,ORBICOM.NET.ID,"Jalan Pangeran Jayakarta, Komplek 129, Blok. C, No. 19",MANGGA DUA SELATAN,SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,10730,+622162876303132,+62216262461
0089,PT. JEMBATAN CITRA NUSANTARA,CITRANET,Keanggotaan Penyelenggara,ISP,CITRA.NET.ID,Jl. Petung No. 31 Papringan,CATURTUNGGAL,DEPOK,KAB. SLEMAN,DI YOGYAKARTA,55281,+62274554444,-
0092,PT. INOVA DUAPULUH DUAPULUH,INOVANET,Keanggotaan Penyelenggara,ISP,WWW.INOVA.NET.ID,"Axa Tower Lantai 7, Suite 8 Jl Prof Dr Satrio Kav 18 Kuningan - Setiabudi",KARET KUNINGAN,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12940,021 - 30480711,021 - 30480713
0093,PT. ANGKASA KOMUNIKASI GLOBAL UTAMA,ANGKASANET,Keanggotaan Penyelenggara,ISP,ANGKASA.NET.ID,Jl. Aipda KS Tubun 2 C No. 8,SLIPI,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11410,+622125670088,+62
0094,PT. GLOBAL PRIMA UTAMA,UIINET,Keanggotaan Penyelenggara,ISP,UII.NET.ID,Jl. Cik Di Tiro No. 1,TERBAN,GONDOKUSUMAN,YOGYAKARTA,DI YOGYAKARTA,55223,+62274555888,+62274549254
0095,PT. INDONESIA COMNETS PLUS,TELEKOMUNIKASI,Keanggotaan Penyelenggara,ISP,ICONPLN.CO.ID,"Kawasan PLN Cawang, Jl. Mayjend Sutoyo No. 1, Cililitan",CILILITAN,KRAMAT JATI,JAKARTA TIMUR,DKI JAKARTA,13640,+62215253019,+62215253659
0096,PT. WIRELESS INDONESIA,WIN,Keanggotaan Penyelenggara,ISP,WIRELESS-INDONESIA.CO.ID,Jalan H. Agus Salim No. 45,KEBON SIRIH,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10340,021 3192-2255,021 5020-0021
0097,PT. IFORTE GLOBAL INTERNET,MWIFO,Keanggotaan Penyelenggara,ISP,IFORTE.CO.ID,"Jalan PHH Mustopa, Komplek Surapati Core, Blok. C No. 06, RT. 001/RW. 010",PASIRLAYUNG,CIBEUNYING KIDUL,BANDUNG,JAWA BARAT,10310,+622123586320,+622123586321
S2461,PT. JASTRINDO DINAMIKA,-,Corporate,-,jastrindo.net.id,Jl. Joglo Baru Blok. A No. 153,JOGLO,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,11640,(021) 57956866,(021) 57956881
1000,PT. SEJUTA JARING GLOBAL,KSNET,Keanggotaan Penyelenggara,ISP,KSNET.NET.ID,"Gedung Perkantoran Pulomas Satu,
Gedung 6 Lantai 2, No. 04
Jl. Achmad Yani No. 2",KAYU PUTIH,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13210,+622122472776,+622122472776
0103,PT. DWI TUNGGAL PUTRA,DTP,Keanggotaan Penyelenggara,ISP,DTP.NET.ID,Jl. Embong Tanjung 40,Embong Kaliasin,Genteng,SURABAYA,JAWA TIMUR,60271,+62315344861,+62315316016
0104,PT. MORA TELEMATIKA INDONESIA,MORATELINDO,Keanggotaan Penyelenggara,ISP,MORATELINDO.CO.ID,"Jalan Panataran No. 9, GEDUNG GRAHA 9 Lantai 6",PEGANGSAAN,MENTENG,JAKARTA PUSAT,DKI JAKARTA,10320,021 3199-8600,021 3142-882
0112,PT. PASIFIK SATELIT NUSANTARA,PT PASIFIK SATELIT NUSANTARA,Keanggotaan Penyelenggara,ISP,PESAT.NET.ID,"Ged. Kantor Taman A9 Unit C3 - C4, Jl. DR Ide Anak Agung Gde Agung lot 8.9 No. 9 Lt. 5, Kawasan Mega Kuningan",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,(021 )5762292,(021 )5764181
0115,PT. SARANAINSAN MUDASELARAS,LIFEMEDIA,Keanggotaan Penyelenggara,ISP,JMN.NET.ID,"Wisma Kodel Lt. 8
Jl. H. R. Rasuna Said Kav. B-4",KARET,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12920,+622746055655,+62274545000
0116,PT. MILLENIUM INTERNETINDO,THENET,Keanggotaan Penyelenggara,ISP,WWW.THE.NET.ID,"Jalan Kuningan Barat No. 8, GEDUNG CYBER Lantai 7",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,021 522-1986,021 522-1983
0119,PT. INTERNUX,-,Keanggotaan Penyelenggara,ISP,INTERNUX.CO.ID,"Jalan Gatot Subroto Kav. 35-36, BERITA SATU PLAZA Lantai 6",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,021 5789-5881,021 5789-5842
0120,PT. MULTI DATA PALEMBANG,MDPNET,Keanggotaan Penyelenggara,ISP,MDP.NET.ID,Jl. Jendral Sudirman RT. 29 / RW. 07 (Depan Polda Sumsel),20 ILIR IV,ILIR TIMUR I,PALEMBANG,SUMATERA SELATAN,30128,0711-313046,0711-313047
0122,"PT. BAKRIE TELECOM, TBK.",ESIAMAX-D,Keanggotaan Penyelenggara,ISP,BAKRIETELECOM.COM,"Jalan H. R. Rasuna Said Kav. B-1, WISMA BAKRIE Lantai 5",KARET,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12920,(021) 52920264,(021) 52920264
S2885,PT. CITRA SARI MAKMUR - NAP,-,Corporate,-,CSMCOM.COM,"Jalan Jenderal Sudirman Kav. 21, CHASE PLAZA Lantai 16",KARET,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12920,021 5700-194,021 5704-656
0128,PT. BERCA HARDAYAPERKASA,JASATEL,Keanggotaan Penyelenggara,ISP,JASATEL.NET.ID,"Jalan Kuningan Barat No. 8, GEDUNG CYBER Lantai 11",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,021 5208-987,021 5208-980
0129,PT. PRESTASI PIRANTI INFORMASI,NEUVIZ,Keanggotaan Penyelenggara,ISP,NEUVIZ.NET.ID,"Menara Kadin 11 th Floor, Suite E - G. Jl. Rasuna Said Block X-5 Kav. 2-3",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,+622127888888,+622127888777
0131,PT. COMTRONICS SYSTEM,COMNET,Keanggotaan Penyelenggara,ISP,COM.NET.ID,"Kutawaringin Industrial Park, Kavling 266",JELEGONG,KUTAWARINGIN,KAB. BANDUNG,JAWA BARAT,40911,+622286671997,-
0135,PT. ARTHA TELEKOMINDO,SCBDNET,Keanggotaan Penyelenggara,ISP,ARTHATEL.CO.ID,"Jalan Jenderal Sudirman Kav. 52-53, Sudirman Central Business District",SENAYAN,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,12190,+622125525100,+62215150006
0137,PT. RABIK BANGUN PERTIWI,BLUELINE,Keanggotaan Penyelenggara,ISP,BLUELINE.CO.ID,"Pertokoan Luhur Artha Kencana Blok B No. 3
Jl Diponegoro No. 180 Br. Eka Sila",DAUH PURI KLOD,DENPASAR BARAT,DENPASAR,BALI,80114,0361 335 2005,0361 335 2005
0138,PT. JAVA ONLINE,-,Keanggotaan Penyelenggara,ISP,JAVA.NET.ID,"Patra Jasa Office Tower Lantai 21 Ruang 2141 A, Jalan Jend. Gatot Subroto Kav. 32-34",KUNINGAN TIMUR,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,12950,021 5201-683,021 5201-683
0139,PT. TELEKOMUNIKASI SELULAR,TELKOMSEL,Keanggotaan Penyelenggara,ISP,TELKOMSEL.CO.ID,"Telkomsel Smart office, Jl. Gatot Subroto No.Kav. 52, RT.6/RW.1, West Kuningan, Mampang Prapatan, South Jakarta City, Jakarta 12710",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+62215240811,+622152906118
0140,PT. ASIA AKSES UTAMA,FIRSTASIA.NET,Keanggotaan Penyelenggara,ISP,WWW.FIRSTASIA.NET.ID,"Jalan Letjend. S. Parman Kav. 76, WISMA 76 Lantai 18",SLIPI,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11410,(021 ) 53666606,(021 )5367-7666
S588,PT. ASIAKOMNET MULTIMEDIA,-,Corporate,-,ASIAKOM.NET,Jl. Kramat Raya no. 140,KENARI,SENEN,JAKARTA PUSAT,DKI JAKARTA,10430,(021 )3190-3456,(021 )3190-2544
0145,PT. IP TEKNOLOGI KOMUNIKASI,NEXTLINE,Keanggotaan Penyelenggara,ISP,NEXTLINE.ID,"Menara Tendean Lt.12 Unit.02, Jl. Tendean No.20C, Kuningan Barat, Mampang Prapatan",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+622130066000,+62
0146,PT. THAMRIN TELEKOMUNIKASI NETWORK,-,Keanggotaan Penyelenggara,ISP,WWW.THAMRIN.NET.ID,Jl. Arteri pos pengumben no. 8,KOTA BAMBU UTARA,PALMERAH,JAKARTA BARAT,DKI JAKARTA,11420,021 5595-9781,021 5595-9783
0147,PT. GENERASI INDONESIA DIGITAL,GENID,Keanggotaan Penyelenggara,ISP,GEN.ID,"Jalan Kuningan Barat No. 8, GEDUNG CYBER Lantai 8",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+62215266222,+622152963327
S594,PT. INDOMAYA WIRA SEJAHTERA,-,Corporate,-,INDOMAYA.NET.ID,Jl.Sam Ratulangi no. 8 Manahan,MANAHAN,BANJARSARI,SURAKARTA,JAWA TENGAH,57139,0271 713531,0271 725-979
S2860,PT. PASIFIK LINTAS BUANA,-,Corporate,-,VIP.NET.ID,"Intiland tower, lantai 15 Jl. Jend. Sudirman Kav. 32",KARET TENGSIN,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10220,(021) 579-53-178,(021) 579-53-179
0151,PT. INDONUSA SYSTEM INTEGRATOR PRIMA,IPRIMA,Keanggotaan Penyelenggara,JTL,INDONUSA.NET.ID,"Gedung Infracom Broadcast Center
Jl. Taman Makam Bahagia ABRI No. 29, Desa Parigi Baru, Pondok Aren, Bintaro, Tangerang Selatan, Banten 15228",PERIGI BARU,PONDOK AREN,TANGERANG SELATAN,BANTEN,15228,+622129856565,+62213928332
0155,PT. PADI INTERNET,PADINET,Keanggotaan Penyelenggara,ISP,PADI.NET.ID,"Jalan Mayjen. Sungkono No. 83,",Sawunggaling,Wonokromo,SURABAYA,JAWA TIMUR,60242,031 5616-330,031 5616-304
0156,PT. SARANA MUKTI ADIJAYA,-,Keanggotaan Penyelenggara,NAP,SARANASAT.COM,Wisma Dian Graha Lantai 3 Jl. Rawa Gelam III No. 8 Kawasan Industri Pulo Gadung,JATINEGARA KAUM,PULO GADUNG,JAKARTA TIMUR,DKI JAKARTA,13930,021 468 24641,021 8379-3705
S0159,PT. WAHANA INOVASI NUSANTARA,-,Corporate,-,WIN.NET.ID,"Gedung Graha Metro Lt. 2, Jl. Penjernihan 1 No. 8",BENDUNGAN HILIR,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10210,(021) 57956866,(021) 579 56881
0160,PT. PASIFIKTEL INDOTAMA,-,Keanggotaan Penyelenggara,ISP,PAKTEL.CO.ID,Nucira Building Lt. 4 Jl. M. T. Haryono Kav. 27,TEBET BARAT,TEBET,JAKARTA SELATAN,DKI JAKARTA,12810,021 8307-580,021 8307-589
0163,PT. JALAWAVE CAKRAWALA,JALAWAVE,Keanggotaan Penyelenggara,ISP,JALAWAVE.NET.ID,"Gedung Graha Bumiputra Lt.8, Suite #804 Jl. Asia Afrika No. 141-149",KEBON PISANG,SUMUR BANDUNG,BANDUNG,JAWA BARAT,40112,+62224203120,-
0165,PT. DHECYBER FLOW INDONESIA,DHECYBER,Keanggotaan Penyelenggara,NAP,DHECYBER.COM,"Jalan Kuningan Barat No. 8, GEDUNG CYBER Lantai 5",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,021 5292-1111,021 5269-733
0166,PT. DINI NUSA KUSUMA,DNK,Keanggotaan Penyelenggara,ISP,DNK.NET.ID,Gedung Panin Tower Lt. 18 Senayan city - Jl. Asia afrika lot 19,GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,10270,+62622182243348888,+62212525326
0168,PT. TIME EXCELINDO,TE.NET,Keanggotaan Penyelenggara,ISP,TE.NET.ID,"Jalan Ringroad Utara, GRAHA STMIK AMIKOM",CONDONGCATUR,DEPOK,KAB. SLEMAN,DI YOGYAKARTA,55283,0274-4477822,0274 4477823
0169,PT. DATAKOM PADMA JAYA,DWP NAP,Keanggotaan Penyelenggara,NAP,DWPNAP.NET.ID,"Jalan Basuki Rachmad 106-128, GRAHA BUMI SURABAYA Lantai 6",Embong Kaliasin,Genteng,SURABAYA,JAWA TIMUR,60271,0315480018,0315480600
0171,PT. ANGKASA SARANA TEKNIK KOMUNIKASI,ANGKASAWAVE,Keanggotaan Penyelenggara,ISP,ANGKASAWAVE.NET.ID,Jalan Babarsari No. 35,CATURTUNGGAL,DEPOK,KAB. SLEMAN,DI YOGYAKARTA,55281,0274 489-006,0274 489-351
0173,PT. SATNETCOM BALIKPAPAN,INTERNET SERVICE PROVIDER,Keanggotaan Penyelenggara,ISP,SATNETCOM.COM,JL. RUHUI RAHAYU I NO. 96-98,GUNUNG BAHAGIA,BALIKPAPAN SELATAN,BALIKPAPAN,KALIMANTAN TIMUR,76114,0542875570,0542876302
0174,PT. INTER MEDIA LINTAS NUSA,INTERMEDIA,Keanggotaan Penyelenggara,ISP,INTERMEDIA.NET.ID,Jl. Sumbawa II/3,KARANGTEMPEL,SEMARANG TIMUR,SEMARANG,JAWA TENGAH,50232,+622430003000,+62
0175,PT. CAKRAMEDIA INDOCYBER,-,Keanggotaan Penyelenggara,ISP,CAKRAMEDIA.NET.ID,Apartemen Robinson Tower  B Lt. 9 S38 Jl. Jembatan Dua Raya No. 2,PLUIT,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,14450,021 6660-5377,021 6669-6852
0176,PT. REMALA ABADI,TACHYON,Keanggotaan Penyelenggara,ISP,TACHYON.NET.ID,Jl. Wibawa Mukti 2 No. 3D,JATIASIH,JATIASIH,BEKASI,JAWA BARAT,17424,021 8240-4718,-
0177,PT. DETIK INI JUGA,DETIK.COM,Keanggotaan Penyelenggara,ISP,DETIK.COM,"Gedung Transmedia Lantai. 8, Kapten Tendean Kav. 12-14 A",MAMPANG PRAPATAN,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12790,021 79187722,021 79177000
0178,PT. TELEMEDIA DINAMIKA SARANA,GASNET,Keanggotaan Penyelenggara,ISP,GASNET.ID,"Komplek Perkantoran PGN Gedung C Lantai 1, Jl. KH Zainul Arifin No. 20 Krukut, Taman Sari",KRUKUT,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,11140,+622130010645,+622130010645
0180,PT. ANDALAS MEDIA INFORMATIKA,-,Keanggotaan Penyelenggara,ISP,ANDALASMEDIA.NET.ID,"Jalan Kuningan Barat No. 8, GEDUNG CYBER Lantai 4",KUNINGAN BARAT,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,12710,+62 21 2751 0513,+62 21 5209 569
0181,PT. ELEKTRINDO DATA NUSANTARA,ELNUSNET,Keanggotaan Penyelenggara,ISP,ELNUS.NET.ID,"Jl. Jend. Sudirman (Simpang Polda), Gedung Graha Bunda Lantai 5",LOROK PAKJO,ILIR BARAT I,PALEMBANG,SUMATERA SELATAN,30137,+62711421388,+62711421623
